   ID        Имя         Фамилия Дата рождения Должность
0  01     Виктор      Викторович    15.08.1965    Мастер
1  02     Сергей  Константинович    31.05.1970     Маляр
2  03    Евгений  Константинович    25.04.1978  Моторист
3  04       Иван      Мохнатович    04.02.1980  Электрик
4  05  Екатерина       Семеновна    04.03.1990  Менеджер
   ID        Имя         Фамилия Дата рождения Должность
0  01     Виктор      Викторович    15.08.1965    Мастер
1  02     Сергей  Константинович    31.05.1970     Маляр
2  03    Евгений  Константинович    25.04.1978  Моторист
3  04       Иван      Мохнатович    04.02.1980  Электрик
4  05  Екатерина       Семеновна    04.03.1990  Менеджер
   ID        Имя         Фамилия Дата рождения Должность
0  01     Виктор      Викторович    15.08.1965    Мастер
1  02     Сергей  Константинович    31.05.1970     Маляр
2  03    Евгений  Константинович    25.04.1978  Моторист
3  04       Иван      Мохнатович    04.02.1980  Электрик
4  05  Екатерина       Семеновна    04.03.1990  Менеджер
   ID        Имя         Фамилия Дата рождения Должность
0  01     Виктор      Викторович    15.08.1965    Мастер
1  02     Сергей  Константинович    31.05.1970     Маляр
2  03    Евгений  Константинович    25.04.1978  Моторист
3  04       Иван      Мохнатович    04.02.1980  Электрик
4  05  Екатерина       Семеновна    04.03.1990  Менеджер
   ID        Имя         Фамилия Дата рождения Должность
0  01     Виктор      Викторович    15.08.1965    Мастер
1  02     Сергей  Константинович    31.05.1970     Маляр
2  03    Евгений  Константинович    25.04.1978  Моторист
3  04       Иван      Мохнатович    04.02.1980  Электрик
4  05  Екатерина       Семеновна    04.03.1990  Менеджер
   ID        Имя         Фамилия Дата рождения Должность
0  01     Виктор      Викторович    15.08.1965    Мастер
1  02     Сергей  Константинович    31.05.1970     Маляр
2  03    Евгений  Константинович    25.04.1978  Моторист
3  04       Иван      Мохнатович    04.02.1980  Электрик
4  05  Екатерина       Семеновна    04.03.1990  Менеджер
   ID        Имя         Фамилия Дата рождения Должность
0  01     Виктор      Викторович    15.08.1965    Мастер
1  02     Сергей  Константинович    31.05.1970     Маляр
2  03    Евгений  Константинович    25.04.1978  Моторист
3  04       Иван      Мохнатович    04.02.1980  Электрик
4  05  Екатерина       Семеновна    04.03.1990  Менеджер
   ID        Имя         Фамилия Дата рождения Должность
0  01     Виктор      Викторович    15.08.1965    Мастер
1  02     Сергей  Константинович    31.05.1970     Маляр
2  03    Евгений  Константинович    25.04.1978  Моторист
3  04       Иван      Мохнатович    04.02.1980  Электрик
4  05  Екатерина       Семеновна    04.03.1990  Менеджер
   ID        Имя         Фамилия Дата рождения Должность
0  01     Виктор      Викторович    15.08.1965    Мастер
1  02     Сергей  Константинович    31.05.1970     Маляр
2  03    Евгений  Константинович    25.04.1978  Моторист
3  04       Иван      Мохнатович    04.02.1980  Электрик
4  05  Екатерина       Семеновна    04.03.1990  Менеджер
   ID        Имя         Фамилия Дата рождения Должность
0  01     Виктор      Викторович    15.08.1965    Мастер
1  02     Сергей  Константинович    31.05.1970     Маляр
2  03    Евгений  Константинович    25.04.1978  Моторист
3  04       Иван      Мохнатович    04.02.1980  Электрик
4  05  Екатерина       Семеновна    04.03.1990  Менеджер
   ID        Имя         Фамилия Дата рождения Должность
0  01     Виктор      Викторович    15.08.1965    Мастер
1  02     Сергей  Константинович    31.05.1970     Маляр
2  03    Евгений  Константинович    25.04.1978  Моторист
3  04       Иван      Мохнатович    04.02.1980  Электрик
4  05  Екатерина       Семеновна    04.03.1990  Менеджер
   ID        Имя         Фамилия Дата рождения Должность
0  01     Виктор      Викторович    15.08.1965    Мастер
1  02     Сергей  Константинович    31.05.1970     Маляр
2  03    Евгений  Константинович    25.04.1978  Моторист
3  04       Иван      Мохнатович    04.02.1980  Электрик
4  05  Екатерина       Семеновна    04.03.1990  Менеджер
   ID        Имя         Фамилия Дата рождения Должность
0  01     Виктор      Викторович    15.08.1965    Мастер
1  02     Сергей  Константинович    31.05.1970     Маляр
2  03    Евгений  Константинович    25.04.1978  Моторист
3  04       Иван      Мохнатович    04.02.1980  Электрик
4  05  Екатерина       Семеновна    04.03.1990  Менеджер
   ID        Имя         Фамилия Дата рождения Должность
0  01     Виктор      Викторович    15.08.1965    Мастер
1  02     Сергей  Константинович    31.05.1970     Маляр
2  03    Евгений  Константинович    25.04.1978  Электрик
3  04       Иван      Мохнатович    04.02.1980  Моторист
4  05  Екатерина       Семеновна    04.03.1990  Менеджер
